"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1622","Registration with correct email, username and password","LMS system","2026-08-13","passed","2026-08-13","Registration","Authentication","",""
"","1465","Check displaying of dashboard page","LMS system","2026-08-13","passed","2026-08-13","Dashboard","Dashboard","",""
"","0","test_forgot_password_link","tests.pytest","2026-08-13","passed","2026-08-13","TestUserInterface","test_markers","",""
"","0","test_logout","tests.pytest","2026-08-13","passed","2026-08-13","TestUserAuthentication","test_markers","",""
"","0","test_regression_case","tests.pytest","2026-08-13","passed","2026-08-13","","test_markers","",""
"","1307","Attempt to login with email: user.name@gmail.com","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-08-13","passed","2026-08-13","TestUserAuthentication","test_markers","",""
"","3850","Edit course","LMS system","2026-08-13","passed","2026-08-13","Courses","Courses","",""
"","1109","Check displaying of empty courses list","LMS system","2026-08-13","passed","2026-08-13","Courses","Courses","",""
"","1077","Navigation from login page to registration page","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-08-13","passed","2026-08-13","","test_markers","",""
"","2826","Create course","LMS system","2026-08-13","passed","2026-08-13","Courses","Courses","",""
"","0","test_login","tests.pytest","2026-08-13","passed","2026-08-13","TestUserAuthentication","test_markers","",""
"","1370","Attempt to login with email: user.name@gmail.com","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","1345","Attempt to login with email:   ","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","2496","User login with correct email and password","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
