"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3905","Create course","LMS system","2026-08-13","passed","2026-08-13","Courses","Courses","",""
"","1660","Attempt to login with email: user.name@gmail.com","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","1211","Navigation from login page to registration page","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","1","test_password_reset","tests.pytest","2026-08-13","passed","2026-08-13","TestUserAuthentication","test_markers","",""
"","2653","Check displaying of dashboard page","LMS system","2026-08-13","passed","2026-08-13","Dashboard","Dashboard","",""
"","0","test_login","tests.pytest","2026-08-13","passed","2026-08-13","TestUserAuthentication","test_markers","",""
"","0","test_regression_case","tests.pytest","2026-08-13","passed","2026-08-13","","test_markers","",""
"","1209","Check displaying of empty courses list","LMS system","2026-08-13","passed","2026-08-13","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","2026-08-13","passed","2026-08-13","TestUserInterface","test_markers","",""
"","0","test_critical_login","tests.pytest","2026-08-13","passed","2026-08-13","","test_markers","",""
"","1666","Attempt to login with email:   ","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","4790","Edit course","LMS system","2026-08-13","passed","2026-08-13","Courses","Courses","",""
"","3868","User login with correct email and password","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
"","2364","Registration with correct email, username and password","LMS system","2026-08-13","passed","2026-08-13","Registration","Authentication","",""
"","0","test_logout","tests.pytest","2026-08-13","passed","2026-08-13","TestUserAuthentication","test_markers","",""
"","1745","Attempt to login with email: user.name@gmail.com","LMS system","2026-08-13","passed","2026-08-13","Authorization","Authentication","",""
